,영화,리뷰,평점,site,okt_review,okt_details,okt_polarity
4195,암살,아주 잘 만든 영화입니다 기대합니다,10.0,naver,"[('아주', 'Noun'), ('자다', 'Verb'), ('만들다', 'Verb'), ('영화', 'Noun'), ('이다', 'Adjective'), ('기대하다', 'Adjective')]","[[5, [('기대하다', 'Adjective')], 1.0]]",1.0
4196,암살,추천합니다 정말 재미있어요,10.0,naver,"[('추천', 'Noun'), ('하다', 'Verb'), ('정말', 'Noun'), ('재미있다', 'Adjective')]","[[0, [('추천', 'Noun'), ('하다', 'Verb')], 1.0], [3, [('재미있다', 'Adjective')], 2.0]]",2.0
4197,암살,하정우랑 전지현 케미가ㄷㄷ,10.0,naver,"[('하정우', 'Noun'), ('랑', 'Josa'), ('전지현', 'Noun'), ('케미', 'Noun'), ('가', 'Josa')]","[[3, [('케미', 'Noun')], 1.0]]",1.0
4198,암살,하정우 전지현과의 관계가 더 눈물을 쏟게 만듦 너무 슬퍼요,10.0,naver,"[('하정우', 'Noun'), ('전지현', 'Noun'), ('과의', 'Josa'), ('관계', 'Noun'), ('가', 'Josa'), ('더', 'Noun'), ('눈물', 'Noun'), ('을', 'Josa'), ('쏟다', 'Verb'), ('만들다', 'Verb'), ('너무', 'Adverb'), ('슬프다', 'Adjective')]","[[6, [('눈물', 'Noun')], -1.0], [11, [('슬프다', 'Adjective')], -2.0]]",-3.0
4199,암살,솔직히 경성길거리에 말똥소똥이 깔려 있었는데 확실히 대일본 제국의 통제 하에 있으니깐 길거리에 소똥말똥이 없구나 역사고증제대로 한 영화라고 봅니다,7.0,naver,"[('솔직하다', 'Adjective'), ('경', 'Modifier'), ('성', 'Modifier'), ('길거리', 'Noun'), ('에', 'Josa'), ('말똥', 'Noun'), ('소', 'Modifier'), ('똥', 'Noun'), ('이', 'Josa'), ('깔다', 'Verb'), ('있다', 'Adjective'), ('확실하다', 'Adjective'), ('대', 'Modifier'), ('일본', 'Noun'), ('제국', 'Noun'), ('의', 'Josa'), ('통제', 'Noun'), ('하', 'Noun'), ('에', 'Josa'), ('있다', 'Adjective'), ('길거리', 'Noun'), ('에', 'Josa'), ('소', 'Modifier'), ('똥', 'Noun'), ('말똥', 'Noun'), ('이', 'Josa'), ('없다', 'Adjective'), ('역사', 'Noun'), ('고증', 'Noun'), ('제대로', 'Noun'), ('하다', 'Verb'), ('영화', 'Noun'), ('라고', 'Josa'), ('보다', 'Verb')]","[[0, [('솔직하다', 'Adjective')], 2.0], [11, [('확실하다', 'Adjective')], 1.0], [26, [('없다', 'Adjective')], -1.0], [29, [('제대로', 'Noun')], 1.0]]",3.0
4200,암살,애기 낳고 영화 본 적이 별로 없는데 광복절 맞이 보았어요 재밌고 평점 테러주는 새키들은 친일파 새키들이여,9.0,naver,"[('애기', 'Noun'), ('낳다', 'Verb'), ('영화', 'Noun'), ('보다', 'Verb'), ('적', 'Noun'), ('이', 'Josa'), ('별로', 'Noun'), ('없다', 'Adjective'), ('광복절', 'Noun'), ('맞이', 'Noun'), ('보다', 'Verb'), ('재밌다', 'Adjective'), ('평점', 'Noun'), ('테러', 'Noun'), ('주다', 'Verb'), ('새', 'Modifier'), ('키', 'Noun'), ('들', 'Suffix'), ('은', 'Josa'), ('친일파', 'Noun'), ('새', 'Modifier'), ('키', 'Noun'), ('들', 'Suffix'), ('이여', 'Josa')]","[[7, [('없다', 'Adjective')], -1.0]]",-1.0
4201,암살,여운이 남는 영화극장에서 두 번봄 하정우의 쌍권총 씬을 잊을 수 없음,10.0,naver,"[('여운', 'Noun'), ('이', 'Josa'), ('남다', 'Verb'), ('영화', 'Noun'), ('극장', 'Noun'), ('에서', 'Josa'), ('두', 'Noun'), ('번봄', 'Noun'), ('하정우', 'Noun'), ('의', 'Josa'), ('쌍', 'Noun'), ('권총', 'Noun'), ('씬', 'Noun'), ('을', 'Josa'), ('잊다', 'Verb'), ('수', 'Noun'), ('없다', 'Adjective')]","[[16, [('없다', 'Adjective')], -1.0]]",-1.0
4202,암살,민족주의에 당위성에 따른 징벌적 교훈으로 마무리되는 애국팔이 좋았던 것은 염 대장정도였다 누가 그에게 뭐라 할 수 있는 가 독립에 몸을 내던져본 사람을 무대 밖에서 욕하는 대중들이 더 비겁하고 치졸하며 역겹다,5.0,naver,"[('민족주의', 'Noun'), ('에', 'Josa'), ('당', 'Modifier'), ('위성', 'Noun'), ('에', 'Josa'), ('따르다', 'Verb'), ('징벌', 'Noun'), ('적', 'Suffix'), ('교훈', 'Noun'), ('으로', 'Josa'), ('마무리', 'Noun'), ('되다', 'Verb'), ('애국', 'Noun'), ('팔이', 'Noun'), ('좋다', 'Adjective'), ('것', 'Noun'), ('은', 'Josa'), ('염', 'Noun'), ('대장정', 'Noun'), ('도', 'Josa'), ('이다', 'Verb'), ('누가', 'Noun'), ('그', 'Noun'), ('에게', 'Josa'), ('뭐라다', 'Verb'), ('하다', 'Verb'), ('수', 'Noun'), ('있다', 'Adjective'), ('가다', 'Verb'), ('독립', 'Noun'), ('에', 'Josa'), ('몸', 'Noun'), ('을', 'Josa'), ('내다', 'Verb'), ('보다', 'Verb'), ('사람', 'Noun'), ('을', 'Josa'), ('무대', 'Noun'), ('밖', 'Noun'), ('에서', 'Josa'), ('욕', 'Noun'), ('하다', 'Verb'), ('대중', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('더', 'Noun'), ('비겁하다', 'Adjective'), ('치졸하다', 'Adjective'), ('역겹다', 'Adjective')]","[[40, [('욕', 'Noun'), ('하다', 'Verb')], -2.0], [8, [('교훈', 'Noun')], 1.0], [14, [('좋다', 'Adjective')], 2.0], [48, [('역겹다', 'Adjective')], -2.0]]",-1.0
4203,암살,3천불 잊으면 안 돼,10.0,naver,"[('3천', 'Number'), ('불', 'Foreign'), ('잊다', 'Verb'), ('안', 'Noun'), ('돼다', 'Verb')]",[],0.0
4204,암살,너무 이해가 잘 되고 너무 멋있는 영화예 요 감동이 오랫동안 가네요,10.0,naver,"[('너무', 'Adverb'), ('이해', 'Noun'), ('가', 'Josa'), ('자다', 'Verb'), ('되다', 'Verb'), ('너무', 'Adverb'), ('멋있다', 'Adjective'), ('영', 'Modifier'), ('화예', 'Noun'), ('요', 'Noun'), ('감동', 'Noun'), ('이', 'Josa'), ('오랫동안', 'Adverb'), ('가다', 'Verb')]","[[10, [('감동', 'Noun'), ('이', 'Josa')], 2.0], [6, [('멋있다', 'Adjective')], 2.0]]",4.0
4205,암살,일제강점기 서울을 묘사했다 덤으로 상하이까지 9점 먹고 들어가지 않나,10.0,naver,"[('일제강점기', 'Noun'), ('서울', 'Noun'), ('을', 'Josa'), ('묘사', 'Noun'), ('하다', 'Verb'), ('덤', 'Noun'), ('으로', 'Josa'), ('상하이', 'Noun'), ('까지', 'Josa'), ('9', 'Number'), ('점', 'Noun'), ('먹다', 'Verb'), ('들어가다', 'Verb'), ('않다', 'Verb')]",[],0.0
4206,암살,광복절 기념 봤음카메라 워크도 좋고 박진감 있고 스토리도 나름 좋고 지루한 것도 전혀 없다 개연성은 살짝 떨어지긴 해도 그 정도야 뭐 영화니까,8.0,naver,"[('광복절', 'Noun'), ('기념', 'Noun'), ('보다', 'Verb'), ('카메라', 'Noun'), ('워', 'Noun'), ('크다', 'Verb'), ('좋다', 'Adjective'), ('박진', 'Noun'), ('감', 'Noun'), ('있다', 'Adjective'), ('스토리', 'Noun'), ('도', 'Josa'), ('나름', 'Noun'), ('좋다', 'Adjective'), ('지루하다', 'Adjective'), ('것', 'Noun'), ('도', 'Josa'), ('전혀', 'Noun'), ('없다', 'Adjective'), ('개연', 'Noun'), ('성은', 'Noun'), ('살짝', 'Noun'), ('떨어지다', 'Verb'), ('해도', 'Noun'), ('그', 'Noun'), ('정도', 'Noun'), ('야', 'Josa'), ('뭐', 'Noun'), ('영화', 'Noun'), ('니까', 'Josa')]","[[5, [('크다', 'Verb')], 1.0], [6, [('좋다', 'Adjective')], 2.0], [13, [('좋다', 'Adjective')], 2.0], [14, [('지루하다', 'Adjective')], -1.0], [18, [('없다', 'Adjective')], -1.0], [22, [('떨어지다', 'Verb')], -1.0]]",2.0
4207,암살,이 영화를 보면서도 국짐당 찍는 놈들은 토착왜 구다,10.0,naver,"[('이', 'Noun'), ('영화', 'Noun'), ('를', 'Josa'), ('보다', 'Verb'), ('국', 'Noun'), ('지다', 'Verb'), ('찍다', 'Verb'), ('놈', 'Noun'), ('들', 'Suffix'), ('은', 'Josa'), ('토착', 'Noun'), ('왜', 'Noun'), ('구', 'Noun'), ('다', 'Josa')]",[],0.0
4208,암살,최고 연기자들 연기도 너무 좋고 스토리 넘 좋아요 지루할 틈이 없습니다,10.0,naver,"[('최고', 'Noun'), ('연기자', 'Noun'), ('들', 'Suffix'), ('연기', 'Noun'), ('도', 'Josa'), ('너무', 'Adverb'), ('좋다', 'Adjective'), ('스토리', 'Noun'), ('넘다', 'Verb'), ('좋다', 'Adjective'), ('지루하다', 'Adjective'), ('틈', 'Noun'), ('이', 'Josa'), ('없다', 'Adjective')]","[[0, [('최고', 'Noun')], 2.0], [6, [('좋다', 'Adjective')], 2.0], [9, [('좋다', 'Adjective')], 2.0], [10, [('지루하다', 'Adjective')], -1.0], [13, [('없다', 'Adjective')], -1.0]]",4.0
4209,암살,대한민국에 몇 안 되는 우수한 작품,10.0,naver,"[('대한민국', 'Noun'), ('에', 'Josa'), ('몇', 'Noun'), ('안', 'Noun'), ('되다', 'Verb'), ('우수하다', 'Adjective'), ('작품', 'Noun')]","[[5, [('우수하다', 'Adjective')], 2.0]]",2.0
4210,암살,영화의 가장 큰 헛점은 주인공들은 아무리 총을 맞아 도 죽지 않는다 늦게 죽는 다 이게 가장 큰 헛점이구요 나머지 연출이나 스토리 괜찮았어요 공을 많이 들인 영화 같아요,8.0,naver,"[('영화', 'Noun'), ('의', 'Josa'), ('가장', 'Noun'), ('크다', 'Verb'), ('헛점', 'Noun'), ('은', 'Josa'), ('주인공', 'Noun'), ('들', 'Suffix'), ('은', 'Josa'), ('아무리', 'Adverb'), ('총', 'Noun'), ('을', 'Josa'), ('맞다', 'Verb'), ('도', 'Noun'), ('죽지', 'Noun'), ('않다', 'Verb'), ('늦다', 'Verb'), ('죽다', 'Verb'), ('다', 'Adverb'), ('이', 'Noun'), ('게', 'Josa'), ('가장', 'Noun'), ('크다', 'Verb'), ('헛점', 'Noun'), ('이구', 'Noun'), ('요', 'Josa'), ('나머지', 'Noun'), ('연출', 'Noun'), ('이나', 'Josa'), ('스토리', 'Noun'), ('괜찮다', 'Adjective'), ('공', 'Noun'), ('을', 'Josa'), ('많이', 'Adverb'), ('들이다', 'Verb'), ('영화', 'Noun'), ('같다', 'Adjective')]","[[3, [('크다', 'Verb')], 1.0], [16, [('늦다', 'Verb')], -1.0], [17, [('죽다', 'Verb')], -1.0], [22, [('크다', 'Verb')], 1.0], [30, [('괜찮다', 'Adjective')], 1.0]]",1.0
