word,pos,description
젊어진다고,Adjective,형용사
따가,Adjective,형용사
미지근하고,Adjective,형용사
불친절했지만,Adjective,형용사
아닐까봐,Adjective,형용사
바빠서,Adjective,형용사
괜찮다가,Adjective,형용사
야리,Adjective,형용사
재미있겟,Adjective,형용사
있었군,Adjective,형용사
아니었더라도,Adjective,형용사
화려합니다,Adjective,형용사
어수선함의,Adjective,형용사
괘씸한,Adjective,형용사
애매해진,Adjective,형용사
아까웠을,Adjective,형용사
좋겠어라고,Adjective,형용사
험한,Adjective,형용사
시원함도,Adjective,형용사
유쾌함이,Adjective,형용사
심오하고,Adjective,형용사
이쁘냐,Adjective,형용사
많네가,Adjective,형용사
명명백백하게,Adjective,형용사
아쉬워라,Adjective,형용사
충실하니,Adjective,형용사
뻔했다,Adjective,형용사
좋지만은,Adjective,형용사
어려워,Adjective,형용사
부조리함을,Adjective,형용사
고군,Adjective,형용사
그리워지게,Adjective,형용사
좋을수록,Adjective,형용사
부끄러워지고,Adjective,형용사
많으시네,Adjective,형용사
시원하기,Adjective,형용사
슬펐,Adjective,형용사
있는데,Adjective,형용사
아니었,Adjective,형용사
명쾌함,Adjective,형용사
무거운,Adjective,형용사
재밌어네요,Adjective,형용사
쓸쓸히,Adjective,형용사
멋지기만,Adjective,형용사
쎄라는,Adjective,형용사
불과함,Adjective,형용사
귀찮아서,Adjective,형용사
화함으로,Adjective,형용사
좁아,Adjective,형용사
부자연스럽고,Adjective,형용사
낭비했네,Adjective,형용사
재밌었네요,Adjective,형용사
비슷했음,Adjective,형용사
후회될,Adjective,형용사
완전하게,Adjective,형용사
힘들었었는데,Adjective,형용사
빠라서,Adjective,형용사
박하게,Adjective,형용사
싸한,Adjective,형용사
심각한,Adjective,형용사
궁금하고,Adjective,형용사
망했든,Adjective,형용사
지루하기도,Adjective,형용사
화끈해지고,Adjective,형용사
산뜻하고,Adjective,형용사
좋은데도,Adjective,형용사
정당한,Adjective,형용사
멀쩡하고,Adjective,형용사
화려함인가,Adjective,형용사
열렬히,Adjective,형용사
애잔함,Adjective,형용사
두근거리며,Adjective,형용사
어렵구나,Adjective,형용사
너그러,Adjective,형용사
어렵습니다,Adjective,형용사
화했다는,Adjective,형용사
시끄럽다,Adjective,형용사
극심히,Adjective,형용사
소중하다라는,Adjective,형용사
힘없다는,Adjective,형용사
무리하듯,Adjective,형용사
무겁다,Adjective,형용사
짧았던,Adjective,형용사
연했던가,Adjective,형용사
빼어난,Adjective,형용사
행복해지고,Adjective,형용사
재밌가,Adjective,형용사
부실했다,Adjective,형용사
느리고,Adjective,형용사
미이이,Adjective,형용사
시끄럽구,Adjective,형용사
새삼스러울,Adjective,형용사
진부함만으로,Adjective,형용사
화려하며,Adjective,형용사
애매모호하게,Adjective,형용사
고요하여,Adjective,형용사
소중하지,Adjective,형용사
재밌어서,Adjective,형용사
냉철한,Adjective,형용사
두드러지네,Adjective,형용사
서운했다,Adjective,형용사
재밌으나,Adjective,형용사
미쳤으면,Adjective,형용사
하얗게,Adjective,형용사
신나서,Adjective,형용사
반갑지,Adjective,형용사
흥분한,Adjective,형용사
흰,Adjective,형용사
훌륭함이,Adjective,형용사
적당하네요,Adjective,형용사
많으네요,Adjective,형용사
흥겨웠지,Adjective,형용사
매끈한,Adjective,형용사
창피했지만,Adjective,형용사
야무지다,Adjective,형용사
그래질,Adjective,형용사
깔끔하지만,Adjective,형용사
성장하이,Adjective,형용사
재밌었구요,Adjective,형용사
탄탄하였다,Adjective,형용사
죄송한,Adjective,형용사
무섭지,Adjective,형용사
쓸모없는지,Adjective,형용사
재밌았음,Adjective,형용사
성장하면서,Adjective,형용사
중요하나요,Adjective,형용사
화끈함,Adjective,형용사
미안하다는,Adjective,형용사
필요할,Adjective,형용사
없습니다,Adjective,형용사
얄팍한,Adjective,형용사
부자연스러웠어요,Adjective,형용사
똑같잖아,Adjective,형용사
말랑해서,Adjective,형용사
억울하네요,Adjective,형용사
많으니,Adjective,형용사
부었었어요,Adjective,형용사
잔악하고,Adjective,형용사
그러지신,Adjective,형용사
단조롭지만,Adjective,형용사
재밌으려,Adjective,형용사
굳어가던,Adjective,형용사
멍청하나,Adjective,형용사
어색해서,Adjective,형용사
풍부하지만,Adjective,형용사
흥미로우며,Adjective,형용사
촌스럽진,Adjective,형용사
재미없어져,Adjective,형용사
아닐지언정,Adjective,형용사
넓어,Adjective,형용사
개운하다,Adjective,형용사
재미있지는,Adjective,형용사
섬찟한,Adjective,형용사
당해서,Adjective,형용사
분명하네,Adjective,형용사
