word,pos,description
개재,NNG,보통 명사
주,NNG,보통 명사
티나,NNG,보통 명사
짐,NNG,보통 명사
중단,NNG,보통 명사
눈물,NNG,보통 명사
수준급,NNG,보통 명사
각각,NNG,보통 명사
그때,NNG,보통 명사
독립운동,NNG,보통 명사
고질적,NNG,보통 명사
치열,NNG,보통 명사
부제,NNG,보통 명사
후회,NNG,보통 명사
막내,NNG,보통 명사
영화관,NNG,보통 명사
환장,NNG,보통 명사
게,NNG,보통 명사
안보,NNG,보통 명사
매력,NNG,보통 명사
쯤,NNG,보통 명사
상인,NNG,보통 명사
허세,NNG,보통 명사
거구,NNG,보통 명사
치마,NNG,보통 명사
소장,NNG,보통 명사
절망,NNG,보통 명사
값어치,NNG,보통 명사
서민,NNG,보통 명사
논,NNG,보통 명사
뽕짝,NNG,보통 명사
단,NNG,보통 명사
극장,NNG,보통 명사
미스터리,NNG,보통 명사
편집,NNG,보통 명사
영화인,NNG,보통 명사
자제,NNG,보통 명사
객관적,NNG,보통 명사
감이,NNG,보통 명사
대상,NNG,보통 명사
상업,NNG,보통 명사
다행,NNG,보통 명사
메,NNG,보통 명사
급,NNG,보통 명사
발음,NNG,보통 명사
경찰,NNG,보통 명사
포,NNG,보통 명사
노력,NNG,보통 명사
계산,NNG,보통 명사
화,NNG,보통 명사
도덕,NNG,보통 명사
거북선,NNG,보통 명사
천재,NNG,보통 명사
창작물,NNG,보통 명사
현재,NNG,보통 명사
천의,NNG,보통 명사
유치,NNG,보통 명사
공격,NNG,보통 명사
조,NNG,보통 명사
천,NNG,보통 명사
짝,NNG,보통 명사
동생,NNG,보통 명사
치,NNG,보통 명사
베스트,NNG,보통 명사
신과,NNG,보통 명사
달성,NNG,보통 명사
긴장,NNG,보통 명사
존경심,NNG,보통 명사
씬,NNG,보통 명사
표현,NNG,보통 명사
양심,NNG,보통 명사
감성,NNG,보통 명사
설,NNG,보통 명사
미안,NNG,보통 명사
캐스트,NNG,보통 명사
뒤늦게,NNG,보통 명사
명성,NNG,보통 명사
진부,NNG,보통 명사
부활,NNG,보통 명사
대,NNG,보통 명사
숙면,NNG,보통 명사
용,NNG,보통 명사
완벽,NNG,보통 명사
계속,NNG,보통 명사
비현,NNG,보통 명사
후속,NNG,보통 명사
운동장,NNG,보통 명사
등장인물,NNG,보통 명사
진지,NNG,보통 명사
가족,NNG,보통 명사
평,NNG,보통 명사
띠,NNG,보통 명사
첨,NNG,보통 명사
만이,NNG,보통 명사
마음속,NNG,보통 명사
이상,NNG,보통 명사
