word,polarity,okt_word,pos_len
가치를 믿다,2.0,"[('가치', 'Noun'), ('를', 'Josa'), ('믿다', 'Verb')]",3
가치를 인정하다,2.0,"[('가치', 'Noun'), ('를', 'Josa'), ('인정', 'Noun'), ('하다', 'Verb')]",4
가치보다 비싼,-1.0,"[('가치', 'Noun'), ('보다', 'Josa'), ('비싼', 'Adjective')]",3
가치없는,-2.0,"[('가치', 'Noun'), ('없는', 'Adjective')]",2
가치있는,1.0,"[('가치', 'Noun'), ('있는', 'Adjective')]",2
가치작거리는,-1.0,"[('가치', 'Noun'), ('작', 'Modifier'), ('거리', 'Noun'), ('는', 'Josa')]",4
가치작거리는 모양,-1.0,"[('가치', 'Noun'), ('작', 'Modifier'), ('거리', 'Noun'), ('는', 'Josa'), ('모양', 'Noun')]",5
가치작거리는 소리,-1.0,"[('가치', 'Noun'), ('작', 'Modifier'), ('거리', 'Noun'), ('는', 'Josa'), ('소리', 'Noun')]",5
가탈스럽다,-1.0,"[('가', 'Verb'), ('탈', 'Noun'), ('스럽다', 'Adjective')]",3
가혹하게,-2.0,"[('가혹하게', 'Adjective')]",1
가혹하게 착취하여,-2.0,"[('가혹하게', 'Adjective'), ('착취', 'Noun'), ('하여', 'Verb')]",3
각근하지 못하여,-1.0,"[('각', 'Modifier'), ('근', 'Modifier'), ('하', 'Noun'), ('지', 'Josa'), ('못', 'VerbPrefix'), ('하여', 'Verb')]",6
각별나다,1.0,"[('각별', 'Noun'), ('나다', 'Verb')]",2
각별하다,1.0,"[('각별', 'Noun'), ('하다', 'Verb')]",2
간 장애,-2.0,"[('간', 'Noun'), ('장애', 'Noun')]",2
간 질환의,-1.0,"[('간', 'Noun'), ('질환', 'Noun'), ('의', 'Josa')]",3
간드러진,2.0,"[('간드러진', 'Adjective')]",1
간드러진 느낌이,2.0,"[('간드러진', 'Adjective'), ('느낌', 'Noun'), ('이', 'Josa')]",3
간사스럽게,-1.0,"[('간사', 'Noun'), ('스럽게', 'Josa')]",2
간사스럽게 행동하는,-1.0,"[('간사', 'Noun'), ('스럽게', 'Josa'), ('행동', 'Noun'), ('하는', 'Verb')]",4
간사스럽게 행동하다,-1.0,"[('간사', 'Noun'), ('스럽게', 'Josa'), ('행동', 'Noun'), ('하다', 'Verb')]",4
간사하고,-1.0,"[('간사하고', 'Adjective')]",1
간사하다,-1.0,"[('간사하다', 'Adjective')]",1
간사한,-1.0,"[('간사한', 'Adjective')]",1
간사한 사람이나,-1.0,"[('간사한', 'Adjective'), ('사람', 'Noun'), ('이나', 'Josa')]",3
간사한 짓을,-2.0,"[('간사한', 'Adjective'), ('짓', 'Noun'), ('을', 'Josa')]",3
간섭받고,-1.0,"[('간섭', 'Noun'), ('받고', 'Verb')]",2
간섭하거나,-1.0,"[('간섭', 'Noun'), ('하', 'Suffix'), ('거나', 'Noun')]",3
간섭하거나 방해하여,-1.0,"[('간섭', 'Noun'), ('하', 'Suffix'), ('거나', 'Noun'), ('방해', 'Noun'), ('하여', 'Verb')]",5
간섭하고,-1.0,"[('간섭', 'Noun'), ('하고', 'Josa')]",2
간섭하다,-1.0,"[('간섭', 'Noun'), ('하다', 'Verb')]",2
간섭하여,-1.0,"[('간섭', 'Noun'), ('하여', 'Verb')]",2
간신히 짜내는,-1.0,"[('간신히', 'Adverb'), ('짜내는', 'Verb')]",2
간절하다,2.0,"[('간절하다', 'Adjective')]",1
간지러워서,-1.0,"[('간지러워서', 'Adjective')]",1
간지럽게,-1.0,"[('간지럽게', 'Adjective')]",1
간지럽고,-1.0,"[('간지럽고', 'Adjective')]",1
간지럽고 자릿한,-1.0,"[('간지럽고', 'Adjective'), ('자릿', 'Noun'), ('한', 'Josa')]",3
간직하다,1.0,"[('간직', 'Noun'), ('하다', 'Verb')]",2
간직하지 아니하고,-1.0,"[('간직', 'Noun'), ('하지', 'Verb'), ('아니하고', 'Adjective')]",3
간질,-1.0,"[('간질', 'Noun')]",1
간질간질하다,-1.0,"[('간질간질', 'Adverb'), ('하다', 'Verb')]",2
간질간질한,-1.0,"[('간질간질', 'Adverb'), ('한', 'Determiner')]",2
간질간질한 느낌,-1.0,"[('간질간질', 'Adverb'), ('한', 'Determiner'), ('느낌', 'Noun')]",3
간편하거나,2.0,"[('간편하거나', 'Adjective')]",1
간편하다,2.0,"[('간편하다', 'Adjective')]",1
갈강병균이,-1.0,"[('갈', 'Verb'), ('강', 'Noun'), ('병균', 'Noun'), ('이', 'Josa')]",4
갈라서다,-1.0,"[('갈라', 'Noun'), ('서다', 'Verb')]",2
갈라지는 피부병,-1.0,"[('갈라지는', 'Verb'), ('피부병', 'Noun')]",2
갈색굳음병,-1.0,"[('갈색', 'Noun'), ('굳음', 'Adjective'), ('병', 'Noun')]",3
갈증이 나고,-1.0,"[('갈증', 'Noun'), ('이', 'Josa'), ('나고', 'Verb')]",3
갈증이 심하게,-1.0,"[('갈증', 'Noun'), ('이', 'Josa'), ('심하게', 'Adjective')]",3
갈팡질팡,-1.0,"[('갈팡질팡', 'Noun')]",1
갈팡질팡하다,-1.0,"[('갈팡질팡', 'Noun'), ('하다', 'Verb')]",2
갈팡질팡하며,-1.0,"[('갈팡질팡', 'Noun'), ('하며', 'Verb')]",2
갈피를 잡을 수 없다,-1.0,"[('갈피', 'Noun'), ('를', 'Josa'), ('잡', 'Noun'), ('을', 'Josa'), ('수', 'Noun'), ('없다', 'Adjective')]",6
갈피를 잡지 못하고,-1.0,"[('갈피', 'Noun'), ('를', 'Josa'), ('잡지', 'Noun'), ('못', 'Noun'), ('하고', 'Josa')]",5
갈피를 잡지 못하고 이리저리 헤매는 모양,-1.0,"[('갈피', 'Noun'), ('를', 'Josa'), ('잡지', 'Noun'), ('못', 'Noun'), ('하고', 'Josa'), ('이리저리', 'Adverb'), ('헤매는', 'Verb'), ('모양', 'Noun')]",8
갈피를 잡지 못하는,-1.0,"[('갈피', 'Noun'), ('를', 'Josa'), ('잡지', 'Noun'), ('못', 'VerbPrefix'), ('하는', 'Verb')]",5
갈피를 잡지 못하다,-1.0,"[('갈피', 'Noun'), ('를', 'Josa'), ('잡지', 'Noun'), ('못', 'VerbPrefix'), ('하다', 'Verb')]",5
감각이 둔하고,-1.0,"[('감각', 'Noun'), ('이', 'Josa'), ('둔하고', 'Adjective')]",3
감각이 마비되고,-1.0,"[('감각', 'Noun'), ('이', 'Josa'), ('마비', 'Noun'), ('되고', 'Verb')]",4
감각적이다,1.0,"[('감각', 'Noun'), ('적', 'Suffix'), ('이다', 'Josa')]",3
감감히,-1.0,"[('감감히', 'Adjective')]",1
감개무량하다,2.0,"[('감개', 'Noun'), ('무량', 'Noun'), ('하', 'Suffix'), ('다', 'Josa')]",4
감격,2.0,"[('감격', 'Noun')]",1
감격성,2.0,"[('감격', 'Noun'), ('성', 'Suffix')]",2
감격스럽다,2.0,"[('감격', 'Noun'), ('스럽다', 'Adjective')]",2
감격스레,2.0,"[('감격', 'Noun'), ('스레', 'Noun')]",2
감격이,2.0,"[('감격', 'Noun'), ('이', 'Josa')]",2
감격적,2.0,"[('감격', 'Noun'), ('적', 'Suffix')]",2
감격하다,2.0,"[('감격', 'Noun'), ('하다', 'Verb')]",2
감격하여,2.0,"[('감격', 'Noun'), ('하여', 'Verb')]",2
감금하여,-2.0,"[('감금', 'Noun'), ('하여', 'Verb')]",2
감기,-1.0,"[('감기', 'Noun')]",1
감기가,-1.0,"[('감기', 'Noun'), ('가', 'Josa')]",2
감기가 들어,-1.0,"[('감기', 'Noun'), ('가', 'Josa'), ('들어', 'Verb')]",3
감기나,-1.0,"[('감기', 'Noun'), ('나', 'Josa')]",2
감기나 천식,-1.0,"[('감기', 'Noun'), ('나', 'Josa'), ('천식', 'Noun')]",3
감기로,-1.0,"[('감기', 'Noun'), ('로', 'Josa')]",2
감기로 인하여,-1.0,"[('감기', 'Noun'), ('로', 'Josa'), ('인하여', 'Adjective')]",3
